City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Viedma,-40.8135,-62.9967,68.5,50,100,20.33,AR,2023-12-11 02:51:12
1,Kingston,17.997,-76.7936,83.35,76,40,20.71,JM,2023-12-11 02:47:10
2,Port-Aux-Francais,-49.35,70.2167,39.78,77,78,20.98,TF,2023-12-11 02:49:29
3,Kalmunai,7.4167,81.8167,80.2,82,92,5.21,LK,2023-12-11 02:51:12
4,Grytviken,-54.2811,-36.5092,41.88,95,100,14.36,GS,2023-12-11 02:49:31
5,Illizi,26.4833,8.4667,48.0,76,12,3.11,DZ,2023-12-11 02:51:13
6,Udachny,66.4167,112.4,-14.28,96,100,11.45,RU,2023-12-11 02:49:39
7,Laguna,38.421,-121.4238,50.94,75,0,5.75,US,2023-12-11 02:49:55
8,San Patricio,28.017,-97.5169,55.26,29,0,3.27,US,2023-12-11 02:49:33
9,Adamstown,-25.066,-130.1015,70.36,56,0,5.77,PN,2023-12-11 02:49:34
10,Puerto Ayora,-0.7393,-90.3518,75.22,87,32,7.85,EC,2023-12-11 02:49:42
11,Tiksi,71.6872,128.8694,-14.73,100,100,5.53,RU,2023-12-11 02:49:33
12,Itamaraca,-7.7478,-34.8256,80.65,75,34,6.04,BR,2023-12-11 02:50:16
13,Tual,-5.6667,132.75,83.48,79,48,14.94,ID,2023-12-11 02:51:13
14,Sao Vicente,-23.9631,-46.3919,74.26,26,100,1.01,BR,2023-12-11 02:51:13
15,Badger,64.8,-147.5333,1.81,74,0,0.0,US,2023-12-11 02:49:35
16,La Ronge,55.1001,-105.2842,23.25,80,40,8.05,CA,2023-12-11 02:50:24
17,Brookings,44.3114,-96.7984,20.05,90,0,0.0,US,2023-12-11 02:46:35
18,Kodiak,57.79,-152.4072,42.31,87,100,6.91,US,2023-12-11 02:49:42
19,Portel,-1.9356,-50.8211,79.02,81,99,5.82,BR,2023-12-11 02:51:14
20,Bethel,41.3712,-73.414,62.69,88,75,17.27,US,2023-12-11 02:49:16
21,Dakhla,23.6848,-15.958,70.07,46,19,14.36,EH,2023-12-11 02:51:14
22,Thanh Hoa,19.8,105.7667,79.77,75,44,4.94,VN,2023-12-11 02:51:14
23,Qaqortoq,60.7167,-46.0333,13.86,73,9,7.07,GL,2023-12-11 02:49:41
24,Las Heras,-46.5419,-68.9359,59.2,51,100,25.61,AR,2023-12-11 02:51:14
25,Atafu Village,-8.5421,-172.5159,83.43,78,100,14.97,TK,2023-12-11 02:49:43
26,Anadyr,64.75,177.4833,-16.01,75,20,11.18,RU,2023-12-11 02:49:51
27,Bredasdorp,-34.5322,20.0403,58.12,86,2,3.74,ZA,2023-12-11 02:47:00
28,Kapa'A,22.0752,-159.319,80.92,79,20,10.36,US,2023-12-11 02:49:53
29,Codrington,-38.2667,141.9667,62.06,85,100,18.7,AU,2023-12-11 02:49:39
30,Yellowknife,62.456,-114.3525,10.92,92,75,20.71,CA,2023-12-11 02:46:40
31,Gaitania,3.0906,-75.6723,71.8,91,97,5.79,CO,2023-12-11 02:51:15
32,Fort Bragg,35.139,-79.006,66.04,93,100,8.05,US,2023-12-11 02:49:42
33,Waitangi,-43.9535,-176.5597,57.81,59,0,5.44,NZ,2023-12-11 02:49:32
34,Alice Springs,-23.7,133.8833,67.55,32,100,6.91,AU,2023-12-11 02:47:01
35,Avarua,-21.2078,-159.775,78.85,78,75,26.46,CK,2023-12-11 02:49:37
36,Blackmans Bay,-43.0167,147.3167,69.73,57,7,1.99,AU,2023-12-11 02:49:33
37,Ulanhot,46.0833,122.0833,2.14,48,77,4.45,CN,2023-12-11 02:50:40
38,Sukuta,13.4103,-16.7082,71.62,78,0,4.61,GM,2023-12-11 02:51:15
39,Staraya Stanitsa,48.35,40.2833,28.63,88,99,17.27,RU,2023-12-11 02:51:15
40,Jamestown,42.097,-79.2353,36.55,91,100,9.22,US,2023-12-11 02:49:38
41,Hermanus,-34.4187,19.2345,59.95,82,4,7.94,ZA,2023-12-11 02:49:36
42,El Granada,37.5027,-122.4694,53.91,75,0,4.61,US,2023-12-11 02:49:48
43,Flying Fish Cove,-10.4217,105.6791,82.08,69,75,10.36,CX,2023-12-11 02:49:38
44,Talnakh,69.4865,88.3972,-16.8,98,100,10.27,RU,2023-12-11 02:49:45
45,Albany,42.6001,-73.9662,44.38,91,100,4.0,US,2023-12-11 02:48:45
46,Villa Gesell,-37.2639,-56.973,65.05,86,0,9.78,AR,2023-12-11 02:51:16
47,Mili,6.0815,171.735,81.3,84,100,18.68,MH,2023-12-11 02:51:16
